ID,Date,Sentiment
308,2016-10-02,2
309,2016-10-01,2
310,2016-09-14,2
311,2016-09-12,3
312,2016-09-11,2
313,2016-09-11,2
314,2016-09-11,2
315,2016-09-10,2
316,2016-09-05,2
317,2016-09-05,2
318,2016-08-28,2
319,2016-08-23,1
320,2016-08-21,1
321,2016-08-21,2
322,2016-08-21,2
323,2016-08-11,2
324,2016-07-24,2
325,2016-07-24,2
326,2016-07-24,2
327,2016-07-17,2
328,2016-07-16,2
329,2016-07-16,2
330,2016-07-03,3
331,2016-07-02,2
332,2016-06-26,2
333,2016-06-25,2
334,2016-06-25,2
335,2016-06-25,2
336,2016-06-22,2
337,2016-06-19,2
338,2016-06-04,2
339,2016-05-30,2
340,2016-05-28,2
341,2016-05-24,2
342,2016-05-22,2
343,2016-05-22,2
344,2016-05-15,2
345,2016-05-14,2
346,2016-05-08,3
347,2016-05-07,2
348,2016-04-30,2
349,2016-04-23,2
350,2016-04-17,2
351,2016-04-17,3
352,2016-04-17,2
353,2016-04-16,2
354,2016-04-09,2
355,2016-04-09,2
356,2016-04-03,2
357,2016-04-02,2
358,2016-04-02,2
359,2016-03-20,2
360,2016-03-18,2
361,2016-03-12,2
362,2016-03-12,2
363,2016-03-10,2
364,2016-02-28,2
365,2016-02-14,2
366,2016-01-31,2
367,2016-01-20,2
368,2016-01-16,2
369,2016-01-10,2
370,2016-01-02,2
371,2015-12-20,2
372,2015-12-06,1
373,2015-12-06,2
374,2015-12-05,2
375,2015-11-22,2
376,2015-11-22,2
377,2015-11-21,2
378,2015-11-14,2
379,2015-11-08,2
380,2015-11-08,2
381,2015-10-31,1
382,2015-10-27,2
383,2015-10-18,2
384,2015-10-17,1
385,2015-10-11,2
386,2015-09-26,2
387,2015-09-22,2
388,2015-09-19,2
389,2015-09-09,2
390,2015-09-07,2
391,2015-09-07,2
392,2015-09-05,3
393,2015-09-05,2
394,2015-08-23,2
395,2015-08-09,2
396,2015-08-08,2
397,2015-07-26,2
398,2015-07-19,3
399,2015-07-12,2
400,2015-07-11,2
401,2015-07-11,2
402,2015-07-06,2
403,2015-07-05,2
404,2015-07-05,2
405,2015-07-05,3
406,2015-07-05,2
407,2015-07-04,2
408,2015-07-04,2
409,2015-06-30,2
410,2015-06-30,2
411,2015-06-30,2
412,2015-06-30,2
413,2015-06-30,2
414,2015-06-30,2
415,2015-06-29,2
416,2015-06-29,2
417,2015-06-28,2
418,2015-06-28,2
419,2015-06-27,2
420,2015-06-27,2
421,2015-06-27,2
422,2015-06-26,2
423,2015-06-26,2
424,2015-06-25,2
425,2015-06-25,2
426,2015-06-25,2
427,2015-06-24,2
428,2015-06-23,1
429,2015-06-22,2
430,2015-06-22,2
431,2015-06-21,2
432,2015-06-21,2
433,2015-06-20,2
434,2015-06-18,2
435,2015-06-18,2
436,2015-06-18,2
437,2015-06-17,2
438,2015-06-17,2
439,2015-06-16,2
440,2015-06-15,2
441,2015-06-14,2
442,2015-06-14,2
443,2015-06-13,2
444,2015-06-12,2
445,2015-06-12,2
446,2015-06-11,2
447,2015-06-11,2
448,2015-06-10,2
449,2015-06-10,2
450,2015-06-10,2
451,2015-06-09,2
452,2015-06-09,1
453,2015-06-08,2
454,2015-06-08,2
455,2015-06-07,2
456,2015-06-07,2
457,2015-06-06,2
458,2015-06-05,2
459,2015-06-05,2
460,2015-06-05,2
461,2015-06-04,2
462,2015-06-04,2
463,2015-06-03,2
464,2015-06-03,2
465,2015-06-03,2
466,2015-05-31,2
467,2015-05-31,2
468,2015-05-29,2
469,2015-05-29,2
470,2015-05-29,2
471,2015-05-28,2
472,2015-05-28,2
473,2015-05-27,2
474,2015-05-27,2
475,2015-05-27,2
476,2015-05-27,2
477,2015-05-27,2
478,2015-05-27,2
479,2015-05-26,2
480,2015-05-25,2
481,2015-05-23,2
482,2015-05-22,2
483,2015-05-22,2
484,2015-05-22,2
485,2015-05-21,2
486,2015-05-21,2
487,2015-05-21,2
488,2015-05-20,2
489,2015-05-19,2
490,2015-05-19,2
491,2015-05-19,2
492,2015-05-19,1
493,2015-05-18,2
